timestamp_of_validation,supplier_name,sender,date,subject,idx_target,idx_llm,similarity,type_target,type_llm,variety_target,variety_llm,subvariety_target,subvariety_llm,size_target,size_llm,piece_target,piece_llm,brand_target,brand_llm,package_type_target,package_type_llm,class_target,class_llm,origin_country_code_target,origin_country_code_llm,net_weight_target,net_weight_llm,quantity_per_pallet_target,quantity_per_pallet_llm,price_target,price_llm
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-03,Cucumber | Aubergines | Courgette | Onions,495,172,0.717948717948718,Aubergines,Cucumber,Naked,Naked,,,225+,,,,,,,,,,ES,ES,,10.0,,0,6.0,6.0
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-03,Cucumber | Aubergines | Courgette | Onions,491,177,0.5512820512820512,Cucumber,Aubergines,Industry,Flowpack,,,,225+,,,,,,,,,ES,ES,10.0,0.0,,0,6.0,6.25
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-03,Cucumber | Aubergines | Courgette | Onions,498,178,0.5303030303030303,Aubergines,Celery,Flow,,,,225+,16,,,,,,,,,ES,ES,,0.0,,0,6.25,10.5
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-03,Cucumber | Aubergines | Courgette | Onions,508,184,0.9166666666666666,Onions,Onions,Red,Red,,,60-80,60-80,,,,,,,,,NL,NL,10.0,10.0,,0,6.95,6.95
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-03,Cucumber | Aubergines | Courgette | Onions,507,183,0.9166666666666666,Onions,Onions,Red,Red,,,75-105,75-105,,,,,,,,,NL,NL,10.0,10.0,,0,8.3,8.3
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-03,Cucumber | Aubergines | Courgette | Onions,499,179,0.5833333333333334,Celery,Celery,,,,,16,,,,,,,Carton Box,,,ES,ES,,1.0,,0,10.5,0.8
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-03,Cucumber | Aubergines | Courgette | Onions,509,185,0.8333333333333334,Radish,Radish,,,,,G,G,,,,,,,,,NL,NL,,0.0,,0,15.5,15.5
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-03,Cucumber | Aubergines | Courgette | Onions,510,186,0.9166666666666666,Radish,Radish,,,,,G,G,10x1kg,10x1kg,,,,,,,NL,NL,10.0,10.0,,0,16.0,16.0
2025-05-26T13:42:18.563880,Frankort,t.hendriks@frankort.nl,2025-03-21,Dagprijzen komkommers.xlsx,74,18,0.8333333333333334,Cucumber,Cucumber,,Naked,,,50+,50,24stk,24stk,,,EPS,EPS,,,NL,NL,,0.0,60,60,0.0,0.0
2025-05-26T13:42:18.563880,Frankort,t.hendriks@frankort.nl,2025-03-21,Dagprijzen komkommers.xlsx,75,19,0.8333333333333334,Cucumber,Cucumber,,Naked,,,40+,40,30stk,30stk,,,EPS,EPS,,,NL,NL,,0.0,60,60,0.0,0.0
2025-05-26T13:42:18.563880,Frankort,t.hendriks@frankort.nl,2025-03-21,Dagprijzen komkommers.xlsx,76,20,0.8333333333333334,Cucumber,Cucumber,,Naked,,,35+,35+,36stk,36stk,,,EPS,EPS,,,NL,NL,,0.0,65,65,0.0,0.0
2025-05-26T13:42:18.563880,Frankort,t.hendriks@frankort.nl,2025-03-21,Dagprijzen komkommers.xlsx,79,21,0.8333333333333334,Cucumber,Cucumber,,Naked,,,35+,35+,22stk,22stk,,,EPS,EPS,,,NL,NL,,0.0,72,72,0.0,0.0
2025-05-26T13:42:18.563880,Frankort,t.hendriks@frankort.nl,2025-03-21,Dagprijzen komkommers.xlsx,80,22,0.9375,Cucumber,Cucumber,Industry,Naked,,,,,,,,,EPS,EPS,,,NL,NL,10.0,10.0,60,60,0.0,0.0
2025-05-26T13:42:18.563880,Frankort,t.hendriks@frankort.nl,2025-03-21,Dagprijzen komkommers.xlsx,81,13,0.9444444444444445,Cucumber,Cucumber,Stek,Naked,,,,,,,,,EPS,EPS,,,NL,NL,14.0,14.0,60,60,0.0,0.0
2025-05-26T13:42:18.563880,Frankort,t.hendriks@frankort.nl,2025-03-21,Dagprijzen komkommers.xlsx,82,23,0.8333333333333334,Cucumber,Cucumber,,Naked,,,40+,40,22stk,22stk,,,EPS,EPS,,,NL,NL,,0.0,72,72,0.0,0.0
2025-05-26T13:42:18.563880,Frankort,t.hendriks@frankort.nl,2025-03-21,Dagprijzen komkommers.xlsx,83,0,0.75,Cucumber,Cucumber,,Naked,,,35+,35+,22stk,22stk,,,EPS,EPS,,,NL,NL,,0.0,,0,0.0,0.0
2025-05-26T13:42:18.563880,Frankort,t.hendriks@frankort.nl,2025-03-21,Dagprijzen komkommers.xlsx,72,16,0.9166666666666666,Lettuce,Lettuce,Iceberg,Iceberg,,,,,10stk,10stk,,,Carton Box,Carton Box,,,NL,NL,,0.0,75,75,0.0,0.0
2025-05-26T13:42:18.563880,Frankort,t.hendriks@frankort.nl,2025-03-21,Dagprijzen komkommers.xlsx,73,17,0.9166666666666666,Lettuce,Lettuce,Iceberg,Iceberg,,,,,9stk,9stk,,,Carton Box,Carton Box,,,NL,NL,,0.0,75,75,0.0,0.0
2025-05-26T13:42:18.563880,Frankort,t.hendriks@frankort.nl,2025-03-21,Dagprijzen komkommers.xlsx,64,32,0.75,Cucumber,Cucumber,,Naked,,,40+,40,12stk,12stk,,,Carton Box,Carton Box,,,NL,NL,,0.0,,0,6.35,6.35
2025-05-26T13:42:18.563880,Frankort,t.hendriks@frankort.nl,2025-03-21,Dagprijzen komkommers.xlsx,65,31,0.8333333333333334,Cucumber,Cucumber,,Naked,,,35+,35+,12stk,12stk,,,Carton Box,Carton Box,,,NL,NL,,0.0,160,160,6.35,6.35
2025-05-26T13:42:18.563880,Frankort,t.hendriks@frankort.nl,2025-03-21,Dagprijzen komkommers.xlsx,66,30,0.8333333333333334,Cucumber,Cucumber,,Naked,,,30+,30,14stk,14stk,,,Carton Box,Carton Box,,,NL,NL,,0.0,144,144,6.35,6.35
2025-05-26T13:42:18.563880,Frankort,t.hendriks@frankort.nl,2025-03-21,Dagprijzen komkommers.xlsx,67,29,0.8333333333333334,Cucumber,Cucumber,,Naked,,,25+,25,16stk,16stk,,,Carton Box,Carton Box,,,NL,NL,,0.0,160,160,6.35,6.35
2025-05-26T13:42:18.563880,Frankort,t.hendriks@frankort.nl,2025-03-21,Dagprijzen komkommers.xlsx,63,33,0.8333333333333334,Cucumber,Cucumber,,Naked,,,50+,50,12stk,12stk,,,Carton Box,Carton Box,,,NL,NL,,0.0,108,108,6.9,6.9
2025-05-26T13:42:18.563880,Frankort,t.hendriks@frankort.nl,2025-03-21,Dagprijzen komkommers.xlsx,71,34,0.75,Cucumber,Cucumber,Mini,Mini,,,,,32stk,32stk,,,Carton Box,EPS,,,NL,NL,32.0,0.0,,0,9.0,9.0
2025-05-26T13:42:18.563880,Frankort,t.hendriks@frankort.nl,2025-03-21,Dagprijzen komkommers.xlsx,68,24,0.9375,Cucumber,Cucumber,Industry,Naked,,,,,,,,,Carton Box,Carton Box,,,NL,NL,10.0,10.0,56,56,12.5,12.5
2025-05-26T13:42:18.563880,Frankort,t.hendriks@frankort.nl,2025-03-21,Dagprijzen komkommers.xlsx,69,25,0.9375,Cucumber,Cucumber,Industry,Naked,,,,,,,,,EPS,EPS,,,NL,NL,10.0,10.0,60,60,12.5,12.5
2025-05-26T13:42:18.563880,Frankort,t.hendriks@frankort.nl,2025-03-21,Dagprijzen komkommers.xlsx,70,26,1.0,Cucumber,Cucumber,Mini,Mini,,,,,,,,,EPS,EPS,,,NL,NL,12.0,12.0,44,44,16.5,16.5
2025-05-26T13:42:18.563880,Frankort,t.hendriks@frankort.nl,2025-03-21,Dagprijzen komkommers.xlsx,77,27,0.8333333333333334,Cucumber,Cucumber,,Naked,,,30+,30,42stk,42stk,,,EPS,EPS,,,NL,NL,,0.0,60,60,18.75,18.75
2025-05-26T13:42:18.563880,Frankort,t.hendriks@frankort.nl,2025-03-21,Dagprijzen komkommers.xlsx,78,28,0.8333333333333334,Cucumber,Cucumber,,Naked,,,25+,25,48stk,48stk,,,EPS,EPS,,,NL,NL,,0.0,60,60,19.5,19.5
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-26,Tomaten prijzen Kraaijeveld,394,55,0.6944444444444445,Cherry Plum Tomato,Cherry Plum Tomato,Plum,Mini Roma,Babyplum,,,,,,,,,,,,MA,MA,4.0,4.0,,0,0.0,11.0
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-26,Tomaten prijzen Kraaijeveld,393,77,0.6944444444444445,Cherry Plum Tomato,Cherry Plum Tomato,Plum,Mini Roma,Babyplum,,,,,,,,,,,,,,4.0,4.0,,0,0.0,10.5
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-26,Tomaten prijzen Kraaijeveld,401,73,0.8333333333333334,Cherry Tomato,Cherry Tomato,Mix,,,,,,12x250g,12x250g,,,,,,,,,3.0,3.0,,0,0.0,0.0
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-26,Tomaten prijzen Kraaijeveld,409,74,0.9166666666666666,Plum Tomato,Plum Tomato,,,,,MMM,MMM,,,,,,,,,,,6.0,6.0,,0,0.0,0.0
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-26,Tomaten prijzen Kraaijeveld,410,75,0.8333333333333334,Plum Tomato,Plum Tomato,,,,,MM,MM,,,,Premium,,,,,,,6.0,6.0,,0,0.0,0.0
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-26,Tomaten prijzen Kraaijeveld,411,76,0.8333333333333334,Plum Tomato,Plum Tomato,,,,,M,M,,,,Premium,,,,,,,6.0,6.0,,0,0.0,0.0
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-26,Tomaten prijzen Kraaijeveld,397,58,0.8333333333333334,Cherry Tomato,Cherry Tomato,,Red,,,,,9x250g,9x250g,,,,,,,MA,MA,2.25,2.25,,0,5.5,5.5
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-26,Tomaten prijzen Kraaijeveld,407,68,0.7280701754385964,Intense Tomato,Round Tomato,Round,,,,MMM,MMM,,,,Premium,,,,,ES,ES,6.0,6.0,,0,7.5,7.5
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-26,Tomaten prijzen Kraaijeveld,395,56,0.7777777777777778,Cherry Plum Tomato,Cherry Plum Tomato,Plum,Mini Roma,Babyplum Triangle,,,,12x250g,12x250g,,,,,,,,,3.0,3.0,,0,7.95,7.95
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-26,Tomaten prijzen Kraaijeveld,398,59,0.8333333333333334,Cherry Tomato,Cherry Tomato,,Red,,,,,,,,,,,,,,,4.0,4.0,,0,8.5,8.5
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-26,Tomaten prijzen Kraaijeveld,408,69,0.7280701754385964,Intense Tomato,Round Tomato,Round,,,,G,G,,,,Premium,,,,,MA,MA,6.0,6.0,,0,8.5,8.5
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-26,Tomaten prijzen Kraaijeveld,413,71,0.9166666666666666,Vine Tomato,Vine Tomato,,,,,M,M,,,,,,,,,ES,ES,5.0,5.0,,0,8.5,8.5
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-26,Tomaten prijzen Kraaijeveld,396,57,0.7777777777777778,Cherry Plum Tomato,Cherry Plum Tomato,Plum,Mini Roma,Babyplum Shaker,,,,12x250g,12x250g,,,,,,,,,3.0,3.0,,0,8.95,8.95
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-26,Tomaten prijzen Kraaijeveld,400,62,0.8333333333333334,Cherry Tomato,Cherry Tomato,Mix,,,,,,,,,,,,,,MA,MA,3.0,3.0,,0,9.5,9.5
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-26,Tomaten prijzen Kraaijeveld,403,64,0.7280701754385964,Intense Tomato,Round Tomato,Round,,,,M,M,,,,Premium,,,,,MA,MA,6.0,6.0,,0,9.5,9.5
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-26,Tomaten prijzen Kraaijeveld,402,61,0.8134920634920636,Cherry Vine Tomato,Cherry Tomato,,,,,,,,,,,,,,,,,3.0,3.0,,0,9.95,12.5
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-26,Tomaten prijzen Kraaijeveld,404,65,0.7280701754385964,Intense Tomato,Round Tomato,Round,,,,M,M,,,,Premium,,,,,MA,MA,6.0,6.0,,0,9.95,9.95
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-26,Tomaten prijzen Kraaijeveld,405,66,0.7280701754385964,Intense Tomato,Round Tomato,Round,,,,M,M,,,,Premium,,,,,MA,MA,6.0,6.0,,0,9.95,9.95
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-26,Tomaten prijzen Kraaijeveld,406,67,0.7280701754385964,Intense Tomato,Round Tomato,Round,,,,MM,MM,,,,Premium,,,,,MA,MA,6.0,6.0,,0,9.95,9.95
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-26,Tomaten prijzen Kraaijeveld,412,70,0.9166666666666666,Vine Tomato,Vine Tomato,,,,,,,,,,,,,,,NL,NL,5.0,5.0,,0,10.5,10.5
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-26,Tomaten prijzen Kraaijeveld,414,72,0.8333333333333334,Beef Tomato,Beef Tomato,,Pink,,,BBB,BBB,,,,,,,,,MA,MA,7.0,7.0,,0,17.5,17.5
2025-05-26T13:42:18.563880,Kraaijeveld,bart.de.vries@kraaijeveld.com,2025-03-26,Tomaten prijzen Kraaijeveld,399,60,0.9166666666666666,Cherry Tomato,Cherry Tomato,Yellow,Yellow,,,,,9x250g,9x250g,,,,,,,,,2.25,2.25,,0,18.5,18.5
2025-05-26T13:42:18.563880,Pseelen,huub@pseelen.nl,2025-03-20,Prijslijst,1,121,1.0,Cherry Tomato,Cherry Tomato,Red,Red,,,,,,,,,Carton Box,Carton Box,,,MA,MA,4.0,4.0,176,176,0.0,0.0
2025-05-26T13:42:18.563880,Pseelen,huub@pseelen.nl,2025-03-20,Prijslijst,0,122,1.0,Cherry Tomato,Cherry Tomato,Red,Red,,,,,9x250g,9x250g,,,Carton Box,Carton Box,,,NL,NL,2.25,2.25,184,184,0.0,0.0
2025-05-26T13:42:18.563880,Pseelen,huub@pseelen.nl,2025-03-20,Prijslijst,7,125,0.8666666666666667,Cherry Vine Tomato,Cherry Vine Tomato,,,,,,,,,L'Amuse,,Carton Box,Wooden Crate,,,NL,NL,3.0,3.0,176,176,0.0,0.0
2025-05-26T13:42:18.563880,Pseelen,huub@pseelen.nl,2025-03-20,Prijslijst,25,78,1.0,Cucumber,Cucumber,Mini,Mini,,,,,,,,,EPS,EPS,,,NL,NL,12.0,12.0,56,56,0.0,0.0
2025-05-26T13:42:18.563880,Pseelen,huub@pseelen.nl,2025-03-20,Prijslijst,26,123,0.8541666666666666,Cucumber,Carrots,Stek,,,,160-180g,160-180g,,,,,EPS,EPS,,,NL,NL,12.0,12.0,52,52,0.0,0.0
2025-05-26T13:42:18.563880,Pseelen,huub@pseelen.nl,2025-03-20,Prijslijst,37,124,1.0,Rhubarb,Rhubarb,,,,,40/20,40,,,,,Carton Box,Carton Box,,,NL,NL,6.0,6.0,80,80,0.0,0.0
2025-05-26T13:42:18.563880,Pseelen,huub@pseelen.nl,2025-03-20,Prijslijst,38,120,0.9642857142857143,Rhubarb,Rhubarb,,,,,40/15,20-40,,,,,Carton Box,Carton Box,,,NL,NL,6.0,6.0,80,80,0.0,0.0
2025-05-26T13:42:18.563880,Pseelen,huub@pseelen.nl,2025-03-20,Prijslijst,27,91,1.0,Carrots,Carrots,,,,,50/150,50,,,,,Bag,Bag,,,NL,NL,5.0,5.0,200,200,2.75,2.75
2025-05-26T13:42:18.563880,Pseelen,huub@pseelen.nl,2025-03-20,Prijslijst,30,90,0.9880952380952381,Carrots,Carrots,,,,,125/175,175+,,,,,Bag,Bag,,,NL,NL,5.0,5.0,200,200,2.75,2.75
2025-05-26T13:42:18.563880,Pseelen,huub@pseelen.nl,2025-03-20,Prijslijst,33,92,0.9880952380952381,Carrots,Carrots,,,,,175/325,175+,,,,,Bag,Bag,,,NL,NL,5.0,5.0,200,200,2.95,2.95
2025-05-26T13:42:18.563880,Pseelen,huub@pseelen.nl,2025-03-20,Prijslijst,19,93,0.9166666666666666,Leek,Leek,,,,,,,,,,,Bag,Bag,1,,NL,NL,5.0,5.0,150,150,4.8,4.8
2025-05-26T13:42:18.563880,Pseelen,huub@pseelen.nl,2025-03-20,Prijslijst,28,94,1.0,Carrots,Carrots,,,,,50/150,50,,,,,Bag,Bag,,,NL,NL,10.0,10.0,100,100,5.45,5.45
2025-05-26T13:42:18.563880,Pseelen,huub@pseelen.nl,2025-03-20,Prijslijst,31,95,0.9880952380952381,Carrots,Carrots,,,,,125/175,175+,,,,,Bag,Bag,,,NL,NL,10.0,10.0,100,100,5.45,5.45
2025-05-26T13:42:18.563880,Pseelen,huub@pseelen.nl,2025-03-20,Prijslijst,21,96,0.9166666666666666,Leek,Leek,,,,,,,,,,,Carton Box,Carton Box,1,,NL,NL,5.0,5.0,95,95,5.65,5.65
2025-05-26T13:42:18.563880,Pseelen,huub@pseelen.nl,2025-03-20,Prijslijst,34,97,0.9880952380952381,Carrots,Carrots,,,,,175/325,175+,,,,,Bag,Bag,,,NL,NL,10.0,10.0,100,100,5.85,5.85
2025-05-26T13:42:18.563880,Pseelen,huub@pseelen.nl,2025-03-20,Prijslijst,13,98,0.9166666666666666,Cucumber,Cucumber,,,,,30-35,30-35,14stk,14stk,,,Carton Box,Carton Box,,,NL,NL,,0.0,176,176,7.5,7.5
2025-05-26T13:42:18.563880,Pseelen,huub@pseelen.nl,2025-03-20,Prijslijst,14,100,0.9166666666666666,Cucumber,Cucumber,,,,,35-40,35-40,12stk,12stk,,,Carton Box,Carton Box,,,NL,NL,,0.0,176,176,7.5,7.5
2025-05-26T13:42:18.563880,Pseelen,huub@pseelen.nl,2025-03-20,Prijslijst,15,99,0.9166666666666666,Cucumber,Cucumber,,,,,40-50,40-50,12stk,12stk,,,Carton Box,Carton Box,,,NL,NL,,0.0,160,160,7.5,7.5
2025-05-26T13:42:18.563880,Pseelen,huub@pseelen.nl,2025-03-20,Prijslijst,29,101,1.0,Carrots,Carrots,,,,,50/150,50,,,,,EPS,EPS,,,NL,NL,12.5,12.5,70,70,7.6,7.6
2025-05-26T13:42:18.563880,Pseelen,huub@pseelen.nl,2025-03-20,Prijslijst,32,102,0.9880952380952381,Carrots,Carrots,,,,,125/175,175+,,,,,EPS,EPS,,,NL,NL,12.5,12.5,70,70,7.6,7.6
2025-05-26T13:42:18.563880,Pseelen,huub@pseelen.nl,2025-03-20,Prijslijst,16,103,0.9166666666666666,Cucumber,Cucumber,,,,,50-60,50-60,12stk,12stk,,,Carton Box,Carton Box,,,NL,NL,,0.0,108,108,7.75,7.75
2025-05-26T13:42:18.563880,Pseelen,huub@pseelen.nl,2025-03-20,Prijslijst,35,104,0.9880952380952381,Carrots,Carrots,,,,,175/325,175+,,,,,EPS,EPS,,,NL,NL,12.5,12.5,70,70,8.1,8.1
2025-05-26T13:42:18.563880,Pseelen,huub@pseelen.nl,2025-03-20,Prijslijst,39,106,0.9166666666666666,Apples,Apples,Elstar,,,,75/80,80,,,,,EPS,EPS,,,NL,NL,7.0,7.0,100,100,8.15,8.15
2025-05-26T13:42:18.563880,Pseelen,huub@pseelen.nl,2025-03-20,Prijslijst,40,105,0.8809523809523809,Apples,Apples,Elstar,,,,80/85,75-80,,,,,EPS,EPS,,,NL,NL,7.0,7.0,100,100,8.15,8.15
2025-05-26T13:42:18.563880,Pseelen,huub@pseelen.nl,2025-03-20,Prijslijst,47,108,0.9166666666666666,Apples,Apples,Braeburn,,,,75/80,80,,,,,EPS,EPS,,,NL,NL,7.0,7.0,100,100,8.85,8.85
2025-05-26T13:42:18.563880,Pseelen,huub@pseelen.nl,2025-03-20,Prijslijst,48,107,0.8809523809523809,Apples,Apples,Braeburn,,,,80/85,75-80,,,,,EPS,EPS,,,NL,NL,7.0,7.0,100,100,8.85,8.85
2025-05-26T13:42:18.563880,Pseelen,huub@pseelen.nl,2025-03-20,Prijslijst,55,109,0.9,Apples,Apples,Wellant,,,,70/75,70-75,,,,,EPS,EPS,,,NL,NL,6.5,6.5,100,100,8.85,8.85
2025-05-26T13:42:18.563880,Pseelen,huub@pseelen.nl,2025-03-20,Prijslijst,36,110,0.9880952380952381,Aubergines,Aubergines,,,,,225/300,300+,,,,,Carton Box,Carton Box,,,NL,NL,5.0,5.0,88,88,9.0,9.0
2025-05-26T13:42:18.563880,Pseelen,huub@pseelen.nl,2025-03-20,Prijslijst,18,111,0.9166666666666666,Leek,Leek,,,,,,,,,,,EPS,EPS,1,,NL,NL,10.0,10.0,50,50,9.25,9.25
