supplier_name,sender,date,subject,type,variety,subvariety,size,piece,brand,package_type,class,origin_country_code,net_weight,quantity_per_pallet,price,remarks
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Capsicum,Red,Classico,GG,unspecified,unspecified,unspecified,unspecified,ES,5.00,110,19.70,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Capsicum,Red,unspecified,GG,unspecified,unspecified,unspecified,unspecified,ES,5.00,110,19.70,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Capsicum,Red,unspecified,GG,unspecified,Luna,unspecified,unspecified,ES,5.00,110,19.70,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Capsicum,Red,unspecified,95+MM,unspecified,unspecified,unspecified,unspecified,NL,5.00,120,24.00,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Capsicum,Green,Classico,G,unspecified,unspecified,unspecified,unspecified,ES,5.00,110,11.65,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Capsicum,Green,Classico,GG,unspecified,unspecified,unspecified,unspecified,ES,5.00,110,12.65,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Capsicum,Green,unspecified,G,unspecified,Luna,unspecified,unspecified,ES,5.00,110,11.65,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Capsicum,Green,unspecified,GG,unspecified,Luna,unspecified,unspecified,ES,5.00,110,12.65,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Capsicum,Green,unspecified,181-221GR,unspecified,unspecified,unspecified,unspecified,NL,5.00,120,0.00,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Capsicum,Green,unspecified,221-261GR,unspecified,unspecified,unspecified,unspecified,NL,5.00,120,0.00,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Capsicum,Yellow,unspecified,181-221GR,unspecified,unspecified,unspecified,unspecified,NL,5.00,120,0.00,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Capsicum,Yellow,unspecified,221-261GR,unspecified,unspecified,unspecified,unspecified,NL,5.00,120,0.00,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Pepper,Red,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,ES,3.00,190,0.00,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Pepper,Green,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,MA,4.00,180,16.70,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Pepper,Habanero Red,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,ES,2.00,200,9.60,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Pepper,Jalapeno Green,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,MA,2.00,200,34.35,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Aubergines,unspecified,unspecified,225-300GR,unspecified,unspecified,unspecified,unspecified,NL,5.00,120,8.60,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Aubergines,unspecified,unspecified,300-400GR,unspecified,unspecified,unspecified,unspecified,NL,5.00,120,8.60,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Zucchini,Green or G?,Costa?,Green or G?,14stk,unspecified,unspecified,unspecified,ES,4.80,150,7.60,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Zucchini,Green,unspecified,M,unspecified,unspecified,unspecified,unspecified,ES,4.80,160,7.60,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Zucchini,Green,unspecified,M,unspecified,Luna,unspecified,unspecified,ES,4.80,160,7.60,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Zucchini,unspecified,unspecified,unspecified,14stk,Luna,unspecified,unspecified,ES,4.80,160,7.60,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Cucumber,Filmed,unspecified,250+,16stk,Luna,unspecified,unspecified,ES,4.00,180,6.60,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Cucumber,Filmed,unspecified,300+,14stk,unspecified,unspecified,unspecified,ES,unspecified,180,7.10,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Cucumber,Filmed,Castel?,200+,unspecified,unspecified,unspecified,unspecified,ES,9.00,100,11.15,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Cucumber,Naked,unspecified,500+,12stk,unspecified,unspecified,unspecified,NL,6.00,150,7.10,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Cucumber,Industry,La Cana?,unspecified,unspecified,unspecified,unspecified,unspecified,ES,9.00,100,6.60,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Garlic,NW?,unspecified,unspecified,2x5kg,unspecified,unspecified,unspecified,CN,10.00,100,37.90,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Garlic,NW?,unspecified,50+MM,unspecified,unspecified,unspecified,unspecified,CN,10.00,100,31.15,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Garlic,NW?,unspecified,50+MM,10x1kg,unspecified,unspecified,unspecified,CN,10.00,100,46.50,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Garlic,NW?,unspecified,50+MM,20x500g,unspecified,unspecified,unspecified,CN,10.00,100,31.85,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Garlic,NW?,unspecified,50+MM,40x250g,unspecified,unspecified,unspecified,CN,10.00,100,32.10,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Garlic,unspecified,unspecified,unspecified,20x100g,unspecified,unspecified,unspecified,CN,2.00,500,8.35,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Garlic,Solo,unspecified,unspecified,8x250g,unspecified,unspecified,unspecified,CN,2.00,500,16.20,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Garlic,Pealed,unspecified,unspecified,10x1kg,unspecified,unspecified,unspecified,CN,10.00,100,36.90,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Lettuce,Iceberg,unspecified,unspecified,10stk,El Dulme,unspecified,unspecified,ES,unspecified,75,0.00,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Lettuce,Little Gem,unspecified,unspecified,10x2stk,unspecified,unspecified,unspecified,ES,2.20,150,9.60,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Lettuce,Romana,unspecified,unspecified,10x1stk,Kaine,unspecified,unspecified,ES,unspecified,70,10.90,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Lettuce,Lollo,Rossa,unspecified,12stk,unspecified,unspecified,unspecified,NL,unspecified,60,12.65,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Lettuce,Lollo,Bionda,unspecified,12stk,unspecified,unspecified,unspecified,NL,unspecified,60,12.65,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Lettuce,Oak Leaf,unspecified,unspecified,12stk,unspecified,unspecified,unspecified,NL,2.00,60,12.65,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Lettuce,Salatrio,Kluit,unspecified,10stk,unspecified,unspecified,unspecified,NL,2.80,55,12.15,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Lettuce,Frisée,Yellow,Fijn,10x1stk,unspecified,unspecified,unspecified,ES,unspecified,65,15.15,
Marnifruit,DAVE@MARNIFRUIT.NL,21-03-2025 8:17:00,MARNI FRUIT B.V.: Prijslijst,Lettuce,Radicchio,unspecified,unspecified,9stk,unspecified,unspecified,unspecified,IT,2.50,170,10.10,
